ID,时间戳,事件类型,参数1,参数2,参数3,参数4,系统状态,系统总状态位,单体总故障,pack总故障,簇总故障,总电压,预充电压,总电流,簇显示SOC,簇SOH,簇SOE,充电最大允许功率,放电最大允许功率,充电效率,单次充电电量,单次放电电量,累计充电电量,累计放电电量,簇真实SOC,充电SOP,放电SOP,单次充电容量,单次放电容量,累计充电容量,累计放电容量,电压越限次数,温度越限次数,故障保护次数,绝缘电阻+,绝缘电阻-,最高单体电压数据,最高单体电压编号,最低单体电压数据,最低单体电压编号,单体平均电压,最高单体温度数据,最高单体温度编号,最低单体温度数据,最低单体温度编号,单体平均温度,最高单体soc数据,最高单体soc编号,最低单体soc数据,最低单体soc编号,单体平均SOC,最高电池包电压数据,最高电池包电压编号,最低电池包电压数据,最低电池包电压编号,包平均电压,最高动力接插件温度数据,最高动力接插件温度编号,最低动力接插件温度数据,最低动力接插件温度编号,动力接插件平均温度,接触器状态,系统DI输入状态,系统高边驱动状态,配置1,配置2,特殊功能使能位配置,本机IP,本机MAC地址,事件记录版本号,BOOT版本号,软件版本号,硬件版本号,SOX算法版本号,BCU默认参数版本号,CRC16,CRC校验结果
"136","2000-1-23-00:24:45","故障触发-故障汇总","故障类型:P+连接器温度过温轻微故障","故障动作:复归","/","/","系统状态:静置,系统模拟量故障等级:严重","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT4过温-严重","804.6V","804.3V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","2","93.8V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","25469","通过"
"137","2000-1-23-00:26:11","簇端温度4过温故障","过温值:49.0℃","故障等级:故障恢复","信号名称:熔断器1温度","/","系统状态:静置,系统模拟量故障等级:严重","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT4过温-严重","804.6V","804.3V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","2","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","36275","通过"
"138","2000-1-23-00:26:11","故障触发-故障汇总","故障类型:P-连接器温度过温严重故障","故障动作:复归","/","/","系统状态:静置,系统模拟量故障等级:严重","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,无故障","804.6V","804.3V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","2","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","11711","通过"
"139","2000-1-23-00:30:44","配置参数下设","起始地址:0x7007","寄存器长度:1","/","/","0x5F","0x0,0x0","0x0","0x0","0x0,0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x533E","通过"
"140","2000-1-23-00:31:34","配置参数下设","起始地址:0x7007","寄存器长度:1","/","/","0x64","0x0,0x0","0x0","0x0","0x0,0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x1062","通过"
"141","2000-1-23-00:35:42","配置参数下设","起始地址:0x675C","寄存器长度:6","/","/","0x98","0x1,0x0","0x0","0x0","0x0,0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xDC39","通过"
"142","2000-1-23-00:36:13","簇端温度1过温故障","过温值:66.4℃","故障等级:故障产生","信号名称:B-温度","/","系统状态:静置,系统模拟量故障等级:无故障","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,无故障","804.6V","804.3V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","42698","通过"
"143","2000-1-23-00:36:13","故障触发-故障汇总","故障类型:B+连接器温度过温轻微故障","故障动作:触发","/","/","系统状态:静置,系统模拟量故障等级:无故障","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-轻微","804.6V","804.3V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","97","通过"
"144","2000-1-23-00:36:13","故障触发-故障汇总","故障类型:B+连接器温度过温一般总故障","故障动作:触发","/","/","系统状态:静置,系统模拟量故障等级:轻微","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-一般","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","32503","通过"
"145","2000-1-23-00:36:13","故障触发-故障汇总","故障类型:B+连接器温度过温轻微故障","故障动作:复归","/","/","系统状态:静置,系统模拟量故障等级:轻微","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-一般","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","49655","通过"
"146","2000-1-23-00:36:13","故障触发-故障汇总","故障类型:B+连接器温度过温严重故障","故障动作:触发","/","/","系统状态:静置,系统模拟量故障等级:一般","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-严重","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.8V","4","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","59506","通过"
"147","2000-1-23-00:36:13","故障触发-故障汇总","故障类型:B+连接器温度过温一般总故障","故障动作:复归","/","/","系统状态:静置,系统模拟量故障等级:一般","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-严重","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.8V","4","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","54646","通过"
"148","2000-1-23-00:36:31","簇端温度1过温故障","过温值:49.8℃","故障等级:故障恢复","信号名称:B-温度","/","系统状态:静置,系统模拟量故障等级:严重","静置;禁充禁放;告警;充电功率锁存;放电功率锁存;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-严重","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","51379","通过"
"149","2000-1-23-00:36:31","故障触发-故障汇总","故障类型:B+连接器温度过温严重故障","故障动作:复归","/","/","系统状态:静置,系统模拟量故障等级:严重","静置;禁充禁放;告警;充电功率锁存;放电功率锁存;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,无故障","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.9V","1","93.9V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","43423","通过"
"150","2000-1-23-00:44:21","报警参数下设","起始地址:0x303C","寄存器长度:60","/","/","0x208","0x0,0x1F4","0x0","0x2BC","0x0,0x1F4,0x0","0x2EE","0x0","0x1F4","0x0","0x28A","0x0","0x1F4,0x0","0x2BC,0x0","0x1F4","0x0,0x2EE","0x0,0x1F4","0x0,0x28A","0x0,0x1F4","0x0","0x2BC","0x0","0x1F4,0x0","0x2EE,0x0","0x1F4,0x0","0x28A,0x0","0x1F4","0x0","0x2BC","0x0","0x1F4","0x0","0x2EE","0x0","0x1F4","0x0","0x226","0x0","0x1F4","0x0","0x258","0x0","0x226","0x0","0x28A","0x0","0x258","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xE87A","通过"
"151","2000-1-23-00:44:21","簇端温度1过温故障","过温值:53.3℃","故障等级:故障产生","信号名称:B-温度","/","系统状态:静置,系统模拟量故障等级:无故障","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,无故障","804.5V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.7V","4","93.8V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","2806","通过"
"152","2000-1-23-00:44:21","故障触发-故障汇总","故障类型:B+连接器温度过温轻微故障","故障动作:触发","/","/","系统状态:静置,系统模拟量故障等级:无故障","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-轻微","804.5V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.7V","4","93.8V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","8252","通过"
"153","2000-1-23-00:44:43","报警参数下设","起始地址:0x303C","寄存器长度:60","/","/","0x208","0x0,0x1F4","0x0","0x208","0x0,0x1F4,0x0","0x2EE","0x0","0x1F4","0x0","0x28A","0x0","0x1F4,0x0","0x2BC,0x0","0x1F4","0x0,0x2EE","0x0,0x1F4","0x0,0x28A","0x0,0x1F4","0x0","0x2BC","0x0","0x1F4,0x0","0x2EE,0x0","0x1F4,0x0","0x28A,0x0","0x1F4","0x0","0x2BC","0x0","0x1F4","0x0","0x2EE","0x0","0x1F4","0x0","0x226","0x0","0x1F4","0x0","0x258","0x0","0x226","0x0","0x28A","0x0","0x258","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xEE1E","通过"
"154","2000-1-23-00:44:43","故障触发-故障汇总","故障类型:B+连接器温度过温一般总故障","故障动作:触发","/","/","系统状态:静置,系统模拟量故障等级:轻微","静置;告警;放电指令;脱离母线指令;非运维模式;内测模式;初始化完成","无故障","无故障","无故障,RT1过温-一般","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","172.0kW","172.0kW","100.00%","18.97kWh","0.12kWh","0kWh","0kWh","40.0%","50.0%","50.0%","23.58Ah","0.14Ah","0Ah","0Ah","0","0","0","65535","65535","3.279V","1","3.279V","1","3.279V","28.8℃","1","28.8℃","1","28.8℃","40.0%","1","40.0%","1","40.0%","94.0V","3","93.6V","4","93.8V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:1; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:1; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","305","通过"
